g-model,prompt,rank acc,sign acc,value acc,hum sim,bleurt,ppl_llama,ppl_mistral
gpt-4o,long,0.019,0.359,0.966,0.918,0.506,120.902,82.963
llama-3-70b,long,0.087,0.403,0.938,0.909,0.500,100.286,71.050
claude-3.5-sonnet,long,0.000,0.338,0.948,0.904,0.491,85.020,58.637
mistral-large-2407,long,0.019,0.206,0.957,0.912,0.496,74.699,54.655
human,long,0.963,1.000,0.930,1.000,0.936,91.709,68.719
