g-model,prompt,rank acc,sign acc,value acc,hum sim,bleurt,ppl_llama,ppl_mistral
gpt-4o,long,-0.9594,-0.6406,0.0000,-0.0063,-0.0178,-3.8878,-5.6022
llama-3-70b,long,-0.7625,-0.5938,0.0000,-0.0065,-0.0082,-20.1002,-16.7493
claude-3.5-sonnet,long,-0.9469,-0.5938,0.0000,-0.0016,-0.0188,3.0922,-0.4203
mistral-large-2407,long,-0.7250,-0.8562,0.0000,-0.0052,-0.0221,-10.4193,-19.2669
human,long,0.0000,0.0094,0.0006,0.0000,0.0000,2.8852,0.1536
