g-model,prompt,rank acc,sign acc,value acc,hum sim,bleurt,ppl_llama,ppl_mistral
gpt-4o,long,0.975,0.972,1.000,0.918,0.538,107.628,94.079
llama-3-70b,long,0.812,0.912,1.000,0.925,0.521,90.538,71.002
claude-3.5-sonnet,long,0.975,0.972,1.000,0.926,0.531,101.041,87.321
mistral-large-2407,long,0.772,0.994,1.000,0.928,0.528,91.925,79.718
human,long,0.988,0.944,0.965,1.000,0.940,93.011,73.127
