g-model,prompt,rank acc,sign acc,value acc,hum sim,bleurt,ppl_llama,ppl_mistral
gpt-4o,long,-0.9219,-0.6406,0.0396,-0.0063,-0.0235,8.9043,8.7018
llama-3-70b,long,-0.7250,-0.5844,-0.0537,-0.0034,-0.0037,-12.5048,-12.1190
claude-3.5-sonnet,long,-0.8625,-0.6469,-0.0004,-0.0076,-0.0268,-14.8936,-4.8293
mistral-large-2407,long,-0.9031,-0.7812,-0.0027,-0.0050,-0.0226,-11.2842,-0.7269
human,long,0.0000,0.0000,0.0165,0.0000,0.0000,0.5481,0.9331
