g-model,prompt,rank acc,sign acc,value acc,hum sim,bleurt,ppl_llama,ppl_mistral
gpt-4o,long,-0.9156,-0.7688,0.0000,-0.0079,-0.0166,-3.9989,2.9447
llama-3-70b,long,-0.8106,-0.7780,0.0000,-0.0065,-0.0160,-14.8453,-6.7210
claude-3.5-sonnet,long,-0.8094,-0.9563,0.0000,-0.0037,-0.0201,36.5022,23.5165
mistral-large-2407,long,-0.8656,-0.8625,0.0000,-0.0079,-0.0185,-10.3036,-10.2938
human,long,-0.0378,0.0003,0.0011,0.0000,0.0000,2.8731,7.3273
