g-model,prompt,rank acc,sign acc,value acc,hum sim,bleurt,ppl_llama,ppl_mistral
gpt-4o,long,-0.963,-0.700,-0.002,-0.011,-0.022,-7.190,-4.139
llama-3-70b,long,-0.774,-0.654,-0.021,-0.006,-0.010,-18.155,-13.500
claude-3.5-sonnet,long,-0.900,-0.750,-0.008,-0.006,-0.023,-1.085,-0.174
mistral-large-2407,long,-0.846,-0.842,-0.007,-0.008,-0.025,-16.488,-15.743
human,long,-0.013,0.000,-0.000,0.000,0.000,-1.796,0.345
