g-model,prompt,rank acc,sign acc,value acc,hum sim,bleurt,ppl_llama,ppl_mistral
gpt-4o,long,-0.867,-0.671,0.031,-0.001,-0.016,12.893,14.623
llama-3-70b,long,-0.758,-0.650,-0.015,-0.005,-0.009,-11.738,-9.451
claude-3.5-sonnet,long,-0.858,-0.721,0.005,-0.003,-0.019,14.247,9.075
mistral-large-2407,long,-0.821,-0.821,0.005,-0.005,-0.018,-4.108,-3.595
human,long,0.031,0.008,0.020,0.000,0.000,4.972,3.597
