g-model,prompt,rank acc,sign acc,value acc,hum sim,bleurt,ppl_llama,ppl_mistral
gpt-4o,long,0.037,0.312,0.993,0.925,0.506,107.894,88.418
llama-3-70b,long,0.062,0.312,0.979,0.917,0.498,74.487,54.515
claude-3.5-sonnet,long,0.025,0.267,0.987,0.920,0.493,100.071,74.794
mistral-large-2407,long,0.037,0.175,0.994,0.921,0.493,73.152,53.953
human,long,0.967,0.979,0.956,1.000,0.929,94.193,73.201
