g-model,prompt,rank acc,sign acc,value acc,hum sim,bleurt,ppl_llama,ppl_mistral
gpt-4o,long,0.975,0.987,0.987,0.930,0.526,102.496,76.980
llama-3-70b,long,0.829,0.962,1.000,0.923,0.507,92.579,67.933
claude-3.5-sonnet,long,0.908,0.988,0.984,0.925,0.515,88.004,67.786
mistral-large-2407,long,0.867,0.996,0.989,0.928,0.513,85.220,67.182
human,long,0.966,0.971,0.952,1.000,0.929,91.862,71.945
